annotated_512_id,run,pattern,k_top1_identity,k_top1_score,k_top2_identity,k_top2_score,k_robust_separation,k_support_impression_count,k_support_pass,k_margin_pass,k_winner_leave_one_out_stable,k_global_position_drop_change_count,o_top1_identity,o_top1_score,o_top2_identity,o_top2_score,o_robust_separation,o_support_impression_count,o_support_pass,o_margin_pass,o_winner_leave_one_out_stable,o_global_position_drop_change_count,channels_agree,global_assignment_identity,assignment_agrees_with_local,one_to_one_collision,status,frozen_final_identity
R3/12_right_loop,R3,right_loop,5,0.9853593707084656,51,0.05671646073460579,83.91785855547596,5,true,true,true,0,74,0.168381929397583,133,0.12871938943862915,1.5383954155913715,0,false,false,false,1,false,5,false,false,AMBIGUOUS,
R3/12_whorl,R3,whorl,100,0.06743061542510986,6,0.06658521294593811,0.07768612032805168,0,false,false,false,2,77,0.18640176951885223,91,0.12748341262340546,2.293516992074447,0,false,false,false,1,false,6,false,false,AMBIGUOUS,
R3/13_right_loop,R3,right_loop,7,0.9729692339897156,4,0.05035674571990967,97.46445986878692,6,true,true,true,0,88,0.18218009173870087,82,0.16442058980464935,0.5745713537994388,0,false,false,false,3,false,7,false,false,AMBIGUOUS,
R3/13_whorl,R3,whorl,8,0.38241854310035706,78,0.0884392261505127,31.362971032796157,6,true,true,true,0,29,0.14633788168430328,95,0.13240930438041687,0.5394575600980291,0,false,false,false,2,false,8,false,false,AMBIGUOUS,
R3/14_right_loop,R3,right_loop,9,0.0604388527572155,28,0.052241966128349304,0.9450152047332941,0,false,false,false,1,40,0.10749427229166031,138,0.1061977818608284,0.06956219161752734,0,false,false,false,2,false,9,false,false,AMBIGUOUS,
R3/14_whorl,R3,whorl,10,0.3011647164821625,134,0.05173472687602043,28.70635558580225,2,true,true,true,0,148,0.1650909036397934,83,0.13285166025161743,1.3377019915529904,0,false,false,false,2,false,10,false,false,AMBIGUOUS,
R3/15_right_loop,R3,right_loop,11,0.345920592546463,108,0.05149146914482117,39.24185005328585,4,true,true,true,0,76,0.14025764167308807,27,0.13571663200855255,0.2268756619800483,0,false,false,false,2,false,11,false,false,AMBIGUOUS,
R3/15_whorl,R3,whorl,12,1.3094993829727173,23,0.059386949986219406,138.56235420597903,10,true,true,true,0,125,0.15581117570400238,91,0.1434255838394165,0.4947151019710807,0,false,false,false,2,false,12,false,false,AMBIGUOUS,
R3/16_right_loop,R3,right_loop,13,0.16307203471660614,124,0.05349157378077507,11.079950332006142,2,true,true,true,0,70,0.20085787773132324,139,0.18751148879528046,0.37109275405786457,1,false,false,false,1,false,13,false,false,AMBIGUOUS,
R3/16_whorl,R3,whorl,14,0.3701208829879761,6,0.04243521764874458,43.98553017250093,5,true,true,true,0,95,0.17749933898448944,77,0.14811615645885468,1.0298679467942502,0,false,false,false,1,false,14,false,false,AMBIGUOUS,
R3/17_right_loop,R3,right_loop,15,0.5620288252830505,143,0.06907964497804642,46.13896490584889,4,true,true,true,0,106,0.13016235828399658,64,0.12110994011163712,0.35289734924657146,0,false,false,false,3,false,15,false,false,AMBIGUOUS,
R3/17_whorl,R3,whorl,16,4.51380729675293,80,0.05602246895432472,479.70185031084185,10,true,true,true,0,85,0.2203359603881836,6,0.14872843027114868,4.167303130785075,1,false,true,false,1,false,16,false,false,AMBIGUOUS,
R3/18_right_loop,R3,right_loop,118,0.056818973273038864,17,0.04073410853743553,1.5620159580294595,0,false,false,false,1,13,0.1861899346113205,31,0.1816636472940445,0.15938054372939883,1,false,false,false,2,false,120,false,false,AMBIGUOUS,
R3/18_whorl,R3,whorl,18,0.40874621272087097,72,0.046972036361694336,40.96120561209275,1,false,true,true,0,103,0.1963009089231491,117,0.15158729255199432,1.625581071411129,0,false,false,false,1,false,18,false,false,AMBIGUOUS,
R3/19_right_loop,R3,right_loop,81,0.0388101227581501,31,0.03699011728167534,0.20873082802428378,0,false,false,false,3,69,0.12442150712013245,7,0.1184668242931366,0.285517136907183,0,false,false,false,2,false,42,false,false,AMBIGUOUS,
R3/19_whorl,R3,whorl,20,0.6732451319694519,76,0.06228993460536003,76.95332031402369,8,true,true,true,0,12,0.15291614830493927,20,0.1424444019794464,0.4128854415931045,0,false,false,false,3,false,20,false,false,AMBIGUOUS,
R3/1_left_loop,R3,left_loop,69,0.06871980428695679,55,0.04710587486624718,2.504969739395578,0,false,true,false,1,6,0.10074173659086227,120,0.08121185749769211,1.11811281281816,0,false,false,false,1,false,71,false,false,AMBIGUOUS,
R3/1_plain_arch,R3,plain_arch,22,0.5921525359153748,69,0.04647854343056679,79.70828829088425,1,false,true,true,0,64,0.13375884294509888,26,0.10046293586492538,2.051579517514905,1,false,false,false,1,false,22,false,false,AMBIGUOUS,
R3/1_right_loop,R3,right_loop,23,1.6625828742980957,24,0.0626712292432785,189.11496952154408,10,true,true,true,0,1,0.1526002734899521,136,0.14150367677211761,0.4838925280532341,0,false,false,false,3,false,23,false,false,AMBIGUOUS,
R3/1_tented_arch,R3,tented_arch,135,0.08079584687948227,120,0.04503880441188812,3.713907884867943,0,false,true,false,1,55,0.1283707320690155,34,0.11963427066802979,0.4095872500579783,0,false,false,false,3,false,135,false,false,AMBIGUOUS,
R3/1_whorl,R3,whorl,25,1.385664939880371,58,0.061101216822862625,133.55042752972435,9,true,true,true,0,148,0.2031458467245102,39,0.14603625237941742,2.8868339712013262,0,false,true,false,2,false,25,false,false,AMBIGUOUS,
R3/20_right_loop,R3,right_loop,26,0.2920044958591461,97,0.05140087008476257,27.12855939644304,4,true,true,true,0,34,0.1383051872253418,130,0.11900945752859116,0.7291885821836769,0,false,false,false,1,false,26,false,false,AMBIGUOUS,
R3/20_whorl,R3,whorl,27,0.9519603848457336,75,0.04689546301960945,78.92131181091054,8,true,true,true,0,148,0.16093231737613678,54,0.14765295386314392,0.5680167411772362,1,false,false,false,2,false,27,false,false,AMBIGUOUS,
R3/21_right_loop,R3,right_loop,28,1.6330808401107788,9,0.0495477132499218,150.36531138056455,6,true,true,true,0,43,0.14528405666351318,6,0.14081059396266937,0.21311883005330562,0,false,false,false,1,false,28,false,false,AMBIGUOUS,
R3/21_whorl,R3,whorl,29,2.328432321548462,70,0.05401652678847313,228.51882451500535,9,true,true,true,0,148,0.1979440599679947,50,0.17484839260578156,0.9310072455569628,0,false,false,false,2,false,29,false,false,AMBIGUOUS,
