record_id,sample_index,ppi,pair_type,frozen_analysis_status,conformant_analysis_status,subject_id,plain_position,roll_position,status,reason,mutual_matches,ransac_inliers,inlier_ratio,median_reprojection_error,p90_reprojection_error,plain_hull_coverage,roll_hull_coverage,overlap_plain_pixels,overlap_roll_pixels,registration_relative_local_path,registration_sha256
S20-1000,20,1000,non_mated,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,00001027,10,1,INVALID,PREPROCESSING_FAILURE,0,0,,,,,,,,artifacts/experiment-004/local-large/registrations/1000/S20-1000-non_mated.npz,5ad6fcb5fa55b857f31e15cdda295604f45990946558141477f5665eea5ac38d
S01-2000,1,2000,mated,OK,OK,00001809,1,1,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,63,11,0.1746031746031746,2.0702857971191406,4.152581691741943,0.050654656564135606,0.02368732824408704,,,artifacts/experiment-004/local-large/registrations/2000/S01-2000-mated.npz,20feede04548a9f5e574e0eb81e89f1f446da6dafbd1d7f0eb51176a55d16243
S01-2000,1,2000,non_mated,OK,OK,00001809,1,2,INVALID,VALIDITY_THRESHOLDS_NOT_MET,30,5,0.16666666666666666,0.8525856733322144,3.3836660385131836,0.17167466442010873,0.3148717258848526,,,artifacts/experiment-004/local-large/registrations/2000/S01-2000-non_mated.npz,67d4771c8d9eddac813d8e55c1344a1f214c80377c008b05bf412dd1d73da01a
S02-2000,2,2000,mated,OK,OK,00001718,1,1,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,61,8,0.13114754098360656,1.641355276107788,3.164367914199829,0.5783900765914024,0.17333860285208588,,,artifacts/experiment-004/local-large/registrations/2000/S02-2000-mated.npz,9fb7d66bd6066befe9e544bf3d8abd452ef322f2597afa84702b174ab07e1efa
S02-2000,2,2000,non_mated,OK,OK,00001718,1,2,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,56,6,0.10714285714285714,1.392468810081482,3.059278964996338,0.419230476722298,0.08846889391856516,,,artifacts/experiment-004/local-large/registrations/2000/S02-2000-non_mated.npz,65ba56772c1971870e70dbdb6a7c728c8397905dcccf1178159bad04172af689
S03-2000,3,2000,mated,OK,OK,00001335,2,2,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,51,20,0.39215686274509803,1.7970941066741943,3.780172348022461,0.22157226188830506,0.07935322270707336,,,artifacts/experiment-004/local-large/registrations/2000/S03-2000-mated.npz,2963343b0f5619471a0b5cb84f91778aac4e3c5a7f7966d516d8b93566336a75
S03-2000,3,2000,non_mated,OK,OK,00001335,2,3,INVALID,VALIDITY_THRESHOLDS_NOT_MET,19,4,0.21052631578947367,0.0,0.0,0.19322539346630097,0.19271190998225435,,,artifacts/experiment-004/local-large/registrations/2000/S03-2000-non_mated.npz,d25b2cabd9a50c203c171d453d328eb991a738ed903000ed0e562e095e8ad3dc
S04-2000,4,2000,mated,OK,OK,00001593,2,2,INVALID,VALIDITY_THRESHOLDS_NOT_MET,27,5,0.18518518518518517,0.0,0.0,0.09121535752377247,0.11178666766373563,,,artifacts/experiment-004/local-large/registrations/2000/S04-2000-mated.npz,fe578187569ead4d6f575c1e7f6d23aeeab608a8cb1c96ac857724242887913f
S04-2000,4,2000,non_mated,OK,OK,00001593,2,3,INVALID,VALIDITY_THRESHOLDS_NOT_MET,16,4,0.25,0.0,0.0,0.38846204426388053,0.07401357517278696,,,artifacts/experiment-004/local-large/registrations/2000/S04-2000-non_mated.npz,dad3eef04fabaf312655aad41adc677ea9dd4d796b722466cf8d254b7242eb39
S05-2000,5,2000,mated,OK,OK,00001314,3,3,INVALID,VALIDITY_THRESHOLDS_NOT_MET,11,4,0.36363636363636365,0.0,0.0,0.06615367496602499,0.06633350434110943,,,artifacts/experiment-004/local-large/registrations/2000/S05-2000-mated.npz,04a1752c36651ca94d2a5387b3e4f662690db84594f2528fd7027fecc3515b3d
S05-2000,5,2000,non_mated,OK,OK,00001314,3,4,INVALID,VALIDITY_THRESHOLDS_NOT_MET,5,4,0.8,0.0,0.0,0.3536805299120792,0.24482041804760216,,,artifacts/experiment-004/local-large/registrations/2000/S05-2000-non_mated.npz,741d0fa363fef4f1cfccfaf8faddea53b663322458fdc41c8168c343f7542dca
S06-2000,6,2000,mated,OK,OK,00001267,3,3,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,34,18,0.5294117647058824,1.5189919471740723,2.88339900970459,0.09331306848912356,0.03671312419053488,,,artifacts/experiment-004/local-large/registrations/2000/S06-2000-mated.npz,d5cef8dd97765be76ce5dc05546388fc5d085f6d86cb0f295f152fae31bf2f57
S06-2000,6,2000,non_mated,OK,OK,00001267,3,4,INVALID,VALIDITY_THRESHOLDS_NOT_MET,24,5,0.20833333333333334,0.8079261183738708,2.515486240386963,0.21048367512361987,0.004694840245521438,,,artifacts/experiment-004/local-large/registrations/2000/S06-2000-non_mated.npz,115bf6fd3f333afcfbc8e0e2fdacecadeb7f1d87d638ea28c709265953328936
S07-2000,7,2000,mated,OK,OK,00001061,4,4,INVALID,VALIDITY_THRESHOLDS_NOT_MET,24,5,0.20833333333333334,1.018510103225708,2.9677226543426514,0.07567119770013774,0.020928125296779183,,,artifacts/experiment-004/local-large/registrations/2000/S07-2000-mated.npz,bb51634f458ce15fe52d6f70d57b2cdef7aded0b7aaf083e8c39c31820031f93
S07-2000,7,2000,non_mated,OK,OK,00001061,4,5,INVALID,VALIDITY_THRESHOLDS_NOT_MET,9,4,0.4444444444444444,0.0,0.0,0.15810697743950508,0.47256741932675816,,,artifacts/experiment-004/local-large/registrations/2000/S07-2000-non_mated.npz,1f9ef159b009c4af58e89134fcdfcd5071d44afdf16e213f6ec1eb6e5389618b
S08-2000,8,2000,mated,OK,OK,00001050,4,4,INVALID,VALIDITY_THRESHOLDS_NOT_MET,15,4,0.26666666666666666,0.0,0.0,0.18099601658806194,0.0847191990966149,,,artifacts/experiment-004/local-large/registrations/2000/S08-2000-mated.npz,4f2a3899959af368fa75f40a7aeb5f80612bb8001280bea1af83a9795b1787b7
S08-2000,8,2000,non_mated,OK,OK,00001050,4,5,INVALID,VALIDITY_THRESHOLDS_NOT_MET,15,4,0.26666666666666666,0.0,0.0,0.19163968231478531,0.19497022504865327,,,artifacts/experiment-004/local-large/registrations/2000/S08-2000-non_mated.npz,aff9725c705496fdaeb38ac3318664d244e04a67c53450c8bc583e8b8485afc1
S09-2000,9,2000,mated,OK,OK,00001187,5,5,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,31,10,0.3225806451612903,1.324544906616211,2.1026837825775146,0.1295172330152533,0.049805917130247464,,,artifacts/experiment-004/local-large/registrations/2000/S09-2000-mated.npz,83abb688e700c1c3e4754635f24d2b4c978e1147381a1210b7c368810dc084c0
S09-2000,9,2000,non_mated,OK,OK,00001187,5,6,INVALID,VALIDITY_THRESHOLDS_NOT_MET,19,5,0.2631578947368421,0.0,0.0,0.3505924890354889,0.29571967790826303,,,artifacts/experiment-004/local-large/registrations/2000/S09-2000-non_mated.npz,d7c2fcc42d9a6d6ed8570a3ed475e928f868e5c06fe7acf63ac5f8a96a9759fc
S10-2000,10,2000,mated,OK,OK,00001668,5,5,INVALID,VALIDITY_THRESHOLDS_NOT_MET,23,4,0.17391304347826086,0.0,0.0,0.22628336663293974,0.2542885725090529,,,artifacts/experiment-004/local-large/registrations/2000/S10-2000-mated.npz,7a2bba66bf43a556b9d807d949245806b05b980caa9226618e2bbccd36dcc1c5
S10-2000,10,2000,non_mated,OK,OK,00001668,5,6,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,27,6,0.2222222222222222,1.7454547882080078,2.0119805335998535,0.4940256607234934,0.13322911617253078,,,artifacts/experiment-004/local-large/registrations/2000/S10-2000-non_mated.npz,de830ba6b735b556c782336ec3569787e131fd18c16229dd10b2c1ed97b2c78a
S11-2000,11,2000,mated,OK,OK,00001595,6,6,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,101,35,0.3465346534653465,1.8482699394226074,4.5581889152526855,0.05631370429780496,0.038440609134643054,,,artifacts/experiment-004/local-large/registrations/2000/S11-2000-mated.npz,8441f5b8df0de47070fc5df3047f6201d8766a3d6fb4238fd64c3aa98937b2c6
S11-2000,11,2000,non_mated,OK,OK,00001595,6,7,INVALID,VALIDITY_THRESHOLDS_NOT_MET,32,5,0.15625,0.7119473218917847,1.1587022542953491,0.03514608112840549,0.02164378832365277,,,artifacts/experiment-004/local-large/registrations/2000/S11-2000-non_mated.npz,5685caffa666a843a399b435c0e38620350baecb893c9b072f80fe0bbe9017de
S12-2000,12,2000,mated,OK,OK,00001159,6,6,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,61,25,0.4098360655737705,2.2382612228393555,4.649808883666992,0.08038698370542358,0.0459609670357429,,,artifacts/experiment-004/local-large/registrations/2000/S12-2000-mated.npz,c29f963f78efc765212bfe4324115471f12c4462a3cafdcc7ddbcc967a1bdda3
S12-2000,12,2000,non_mated,OK,OK,00001159,6,7,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,35,6,0.17142857142857143,0.9248232245445251,2.2928214073181152,0.19690747167175549,0.3826271245316885,,,artifacts/experiment-004/local-large/registrations/2000/S12-2000-non_mated.npz,c028848f8a1eae1950500e5ceab85e59db41605320a69c4601ef5f1874ec7246
S13-2000,13,2000,mated,OK,OK,00001741,7,7,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,35,13,0.37142857142857144,1.6163098812103271,2.9529829025268555,0.06982518116377413,0.023622686301293126,,,artifacts/experiment-004/local-large/registrations/2000/S13-2000-mated.npz,a1d358ac204cb3f049822d9f55348052131c5334d738736703f0544003cff213
S13-2000,13,2000,non_mated,OK,OK,00001741,7,8,INVALID,VALIDITY_THRESHOLDS_NOT_MET,20,4,0.2,0.0,0.0,0.22445633294013392,0.0863759140769886,,,artifacts/experiment-004/local-large/registrations/2000/S13-2000-non_mated.npz,f861f346d6440d028ea64a5239a828df866073ee6008349e3bf3d8ab744ce04c
S14-2000,14,2000,mated,OK,OK,00001411,7,7,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,158,75,0.47468354430379744,2.3819034099578857,4.635810852050781,0.1957760453974366,0.07789819681432808,,,artifacts/experiment-004/local-large/registrations/2000/S14-2000-mated.npz,e52ddf0e830033e5c1c51e55376454a61dc0b56415f10a0b0ce016329b71747a
S14-2000,14,2000,non_mated,OK,OK,00001411,7,8,INVALID,VALIDITY_THRESHOLDS_NOT_MET,38,5,0.13157894736842105,0.0,0.0,0.0575964663043511,0.1403115814942164,,,artifacts/experiment-004/local-large/registrations/2000/S14-2000-non_mated.npz,3c77dbefcd209d1032f38b4d5f0e1c6774817b98615d875c2b8cbe4f5f187ee8
S15-2000,15,2000,mated,OK,OK,00001234,8,8,INVALID,VALIDITY_THRESHOLDS_NOT_MET,15,4,0.26666666666666666,0.0,0.0,0.08164971255208753,0.031222698666429703,,,artifacts/experiment-004/local-large/registrations/2000/S15-2000-mated.npz,4aafb3253082f2864ec3a12750716cff1c5ed55acb75e762b3d574aeaee2cf4e
S15-2000,15,2000,non_mated,OK,OK,00001234,8,9,INVALID,VALIDITY_THRESHOLDS_NOT_MET,13,4,0.3076923076923077,0.0,0.0,0.34159661853577594,0.2015019768528776,,,artifacts/experiment-004/local-large/registrations/2000/S15-2000-non_mated.npz,9e897ce8bbcbb6a149b73fb707170c56c9c1babeaf54637d9a21f305c2a2fc78
S16-2000,16,2000,mated,OK,OK,00001711,8,8,VALID,ALL_VALIDITY_THRESHOLDS_MET,130,74,0.5692307692307692,2.4599356651306152,4.692475318908691,0.24696301428803133,0.1158858984636264,181545,215306,artifacts/experiment-004/local-large/registrations/2000/S16-2000-mated.npz,71e518ea53e6cccd13318cc2b9495c221a12906e72d7a8c218c38c217e7a99a1
S16-2000,16,2000,non_mated,OK,OK,00001711,8,9,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,39,6,0.15384615384615385,1.1982641220092773,1.7366509437561035,0.49574656363974484,0.37815078688923087,,,artifacts/experiment-004/local-large/registrations/2000/S16-2000-non_mated.npz,af7cbf611e060a6f6115392a47a09d7c6e91c0e264ee833d4eaac0ae4137a1f2
S17-2000,17,2000,mated,OK,OK,00001036,9,9,AMBIGUOUS,VALIDITY_THRESHOLDS_NOT_MET,28,8,0.2857142857142857,1.6378450393676758,2.8603830337524414,0.06510096678671226,0.06700927856614035,,,artifacts/experiment-004/local-large/registrations/2000/S17-2000-mated.npz,07a7765dad7087b7cb43a8711b296a0949b05999d02abf6546303a1a5d74f5f8
