record_id,sample_index,subject_id,anatomical_position,ppi,seed,frozen_mated_pair,frozen_non_mated_pair,mated_registration_status,non_mated_registration_status,mated_score_status,non_mated_score_status,mated_repeatability,non_mated_repeatability,delta,mated_matches,mated_plain_in_overlap,mated_roll_in_overlap,non_mated_matches,non_mated_plain_in_overlap,non_mated_roll_in_overlap,plain_detections,plain_detections_per_megapixel,plain_detections_per_estimated_ridge_megapixel,mated_roll_detections,mated_roll_detections_per_megapixel,mated_roll_detections_per_estimated_ridge_megapixel,non_mated_roll_detections,non_mated_roll_detections_per_megapixel,non_mated_roll_detections_per_estimated_ridge_megapixel
S14-1000,14,00001411,7,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S15-1000,15,00001234,8,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S16-1000,16,00001711,8,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S17-1000,17,00001036,9,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,545,413.54861131135124,1072.8536529190478
S18-1000,18,00001580,9,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S19-1000,19,00001085,10,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,67,557.1030640668524,882.9498431775651,0,,,0,,
S20-1000,20,00001027,10,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S01-2000,1,00001809,1,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1062,342.6201017342965,732.0795609177052,2258,462.018801177841,785.2615654804858,1870,422.00948731489126,756.6273678997401
S02-2000,2,00001718,1,2000,40401,OK,OK,AMBIGUOUS,AMBIGUOUS,REGISTRATION_AMBIGUOUS,REGISTRATION_AMBIGUOUS,,,,,,,,,,1785,628.3096253514663,1103.6497108561416,2672,502.2798089532128,1083.6499048359094,2967,586.6212396036362,1522.580062463244
S03-2000,3,00001335,2,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1382,1081.7529720810674,1975.225357205642,3291,636.9167885923964,1669.191671996482,3374,642.7584893079963,1741.8859555153097
S04-2000,4,00001593,2,2000,40401,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,760,550.8587598139837,912.3419457612713,3107,695.7824876900022,1017.6618539263831,3516,812.0407443060147,1234.2554326019656
S05-2000,5,00001314,3,2000,40401,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,871,836.9463278139077,1206.0137300024646,3716,707.9106539029385,1168.3546918590266,3869,802.1237932639431,1272.5328600611829
S06-2000,6,00001267,3,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1446,975.7743437478912,1351.0495861359516,4070,728.0949850892588,1507.7553079840272,4398,731.4213489219102,1697.9783710449515
S07-2000,7,00001061,4,2000,40401,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1001,956.1964587297584,1499.9041020354343,1995,513.5718108542051,838.4322200046146,3068,738.402412948902,2011.9457640278788
S08-2000,8,00001050,4,2000,40401,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,911,775.5382797522363,1310.7442178338908,2823,695.3082089717666,1156.7287563260525,2173,528.9672237497276,935.7578346572318
S09-2000,9,00001187,5,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,529,448.0256382459754,875.0368044780711,1823,335.6869475229047,1243.7216956095192,3053,581.7044148945291,1402.3847430829314
S10-2000,10,00001668,5,2000,40401,OK,OK,INVALID,AMBIGUOUS,REGISTRATION_INVALID,REGISTRATION_AMBIGUOUS,,,,,,,,,,1118,726.8349005575435,1181.3461428731437,4236,624.0269834217421,1845.0578279278857,3483,599.4778707812799,1175.9045906869574
S11-2000,11,00001595,6,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1939,550.3069685493466,929.0438562363325,4333,654.367932377047,1131.8443211219703,4029,739.5618797977907,1363.0679957453603
S12-2000,12,00001159,6,2000,40401,OK,OK,AMBIGUOUS,AMBIGUOUS,REGISTRATION_AMBIGUOUS,REGISTRATION_AMBIGUOUS,,,,,,,,,,1455,487.10999814195156,951.9584828333426,2122,477.42641513509227,834.2214791194992,1636,424.99246651495787,733.2433063536249
S13-2000,13,00001741,7,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1493,766.1698793115658,1245.5388352835375,3024,586.0917179270805,1065.238458067332,3116,619.6437406436977,1073.0748104642012
S14-2000,14,00001411,7,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1550,875.6567425569177,1333.586858232834,3983,845.3331160044078,1682.9646205597178,4026,825.5694399046555,1708.069461491434
S15-2000,15,00001234,8,2000,40401,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,865,1509.4695218035456,1615.9947989254101,3978,788.7328188394921,1564.5796165718007,4131,877.0142029170116,1771.0838724613823
S16-2000,16,00001711,8,2000,40401,OK,OK,VALID,AMBIGUOUS,OK,REGISTRATION_AMBIGUOUS,0.5243445692883895,,,140,303,231,,,,1331,918.2603416397604,1254.3610486496063,2093,405.1139196600837,794.4123170726153,2203,515.9654174354622,1215.973576447094
S17-2000,17,00001036,9,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1679,1023.3143805839658,1644.4017864138527,2834,641.116130246565,1286.8803142276563,3048,668.333114063939,1903.72450458193
S18-2000,18,00001580,9,2000,40401,OK,OK,VALID,INVALID,OK,REGISTRATION_INVALID,0.2733333333333333,,,41,143,157,,,,927,647.0553745382663,930.7023338841914,2387,614.4841666711717,1100.8020128951093,3496,673.7674353705547,1675.2706381506468
S19-2000,19,00001085,10,2000,40401,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,381,646.7547679067043,686.5285440909894,1977,478.8475106832405,1040.8095255393177,3068,616.6675510660228,1051.4284930952883
S20-2000,20,00001027,10,2000,40401,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,915,779.1245705235461,1208.3770241965942,3343,795.1995920052826,1148.7779071761336,3001,587.9813938470226,777.2211275688958
S01-2000,1,00001809,1,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1261,406.8210435846967,869.2583110331698,2888,590.925729761561,1004.3558020848731,2429,548.160986464102,982.8063511382185
S02-2000,2,00001718,1,2000,40402,OK,OK,AMBIGUOUS,AMBIGUOUS,REGISTRATION_AMBIGUOUS,REGISTRATION_AMBIGUOUS,,,,,,,,,,2259,795.1548704027799,1396.7197181086967,3529,663.3777866002574,1431.2127672776662,3711,733.72140888746,1904.379714122379
S03-2000,3,00001335,2,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1706,1335.3622072144,2438.302792614201,4813,931.4738691872392,2441.148440388656,4740,902.9861408772682,2447.1071218561256
S04-2000,4,00001593,2,2000,40402,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,767,555.9324589175335,920.745095261704,3729,835.0733494032887,1221.390747760374,3936,909.0421984040028,1381.6920883735315
S05-2000,5,00001314,3,2000,40402,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,976,937.8411204895223,1351.4000005538524,3990,760.1085869409916,1254.503557728072,4041,837.7829538846197,1329.1044940571828
S06-2000,6,00001267,3,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1538,1037.8568054524596,1437.008480966178,4793,857.4347084847217,1775.594887264728,5099,848.0030600620328,1968.6202169072778
S07-2000,7,00001061,4,2000,40402,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,964,920.8525336818053,1444.4630912708878,2693,693.2575872833957,1131.7784303119936,3047,733.3481591444929,1998.1742969338156
S08-2000,8,00001050,4,2000,40402,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1161,988.3643718906108,1670.4435092262868,3503,862.7930060319158,1435.3598418031036,2693,655.549348162916,1159.6851581831224
S09-2000,9,00001187,5,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,796,674.1557808011274,1316.6905413318423,2583,475.633233928504,1762.2233350298343,3920,746.8985608865228,1800.638124102552
